course,author,rating,reviews,hours,lessons,level,price
SQL - Curso completo de Bases de Datos - de 0 a Avanzado,Pablo Tilotta - +110k students,"4,4",2687,22,106,Todos los niveles,"14,99"
SQL. Curso completo de SQL. Aprende desde cero. Comandos SQL,Redait Media,"4,4",2301,25,77,Todos los niveles,"14,99"
SQL desde cero: Curso práctico y sin prerrequisitos técnicos,Mel Restori,"4,6",1806,2,17,Todos los niveles,"16,99"
SQL Básico - Intermedio ¡Añade valor a tu CV en 2 horas!,Numpi Cursos,"4,5",1455,15,19,Todos los niveles,"14,99"
Aprende SQL desde cero: ¡Curso con mas de 50 ejercicios! 1,Numpi Cursos,"4,3",1372,15,67,Todos los niveles,"14,99"
SQL: Creación de Bases de Datos (De cero a profesional),Numpi Cursos,"4,2",1020,2,50,Todos los niveles,"14,99"
COBOL curso completo: Empieza a programar ¡Ya!,Fernando Toledo,"4,4",784,8,107,Todos los niveles,"14,99"
Comienza con SQL: Curso completo de SQL desde cero con MySQL,"Sebastian Tunnell, Equipo Datademia","4,4",742,2,52,Todos los niveles,"14,99"
SQL: Desde cero. ¡Curso con más de 100 ejercicios!,Numpi Cursos,"4,5",490,2,114,Todos los niveles,"14,99"
SQL para administración de Bases de Datos con MySQL,Oscar Alejandro Flavio García Fuentes,"4,5",459,5,48,Todos los niveles,"14,99"
SQL Server: domina lo necesario para el trabajo,"Gabriel Serrano, MBA","4,4",444,25,38,Todos los niveles,"14,99"
"SQL Server: Programando Procedimientos, Triggers y funciones","Gabriel Serrano, MBA","4,1",315,2,27,Principiante,"17,99"
Curso Práctico SQL Server Reporting Services 2012 (SSRS) ,Sí se Aprende,"4,3",306,35,21,Principiante,"14,99"
SQL y MySQL: Aprende todo lo básico sobre base de datos.,"Proyecto Oforte Cursos de calidad sobre Tecnología., Alberto González","4,0",277,35,70,Todos los niveles,"14,99"
SQL Reporting Services 2016,Carlos Palomino,"4,2",232,115,76,Todos los niveles,"17,99"
Optimización de Consultas con Sql Server 2008-2019,Denis Enrique Guido Rodríguez,"4,2",229,35,46,Todos los niveles,"14,99"
Curso de programación C# SQL SERVER para principiantes,Lcdo.Eddy Quintero,"4,1",190,4,25,Principiante,"14,99"
MS SQL Server 2019. Programación de Bases de Datos con T-SQL,Santi Santos Fuentes,"4,6",169,16,101,Intermedio,"14,99"
Aprender a crear base de datos y a hacer consultas en SQL,Alma Pamela Gutierrez,"3,1",166,1,31,Principiante,"14,99"
Sistema de Inventario de Activos con Visual Basic .NET y SQL,Jairo Galeas,"4,6",147,12,114,Todos los niveles,"14,99"
Bases de Datos desde CERO (Access y Lenguaje SQL),Alvaro Romero,"3,7",138,135,70,Todos los niveles,"14,99"
Programación Orientada a objetos con C# y SQL Server,Andrés Alfaro Rojas,"3,1",99,5,28,Todos los niveles,"14,99"
Fundamentos de Base de Datos para Principiantes,Delimar Reyes,"4,3",90,15,22,Principiante,"14,99"
SQL - Curso práctico de lenguaje SQL (base de datos SQLite),Fernando Garcia,"4,3",88,35,21,Todos los niveles,"14,99"
Bases de datos con MySQL y SQLite,Vladimir Rodríguez,"4,6",85,6,21,Todos los niveles,"14,99"
SQL para Principiantes: Curso práctico,Gabriel Moroni,"4,6",84,5,95,Principiante,"14,99"
Domina SQL Server Management Studio (SSMS),Ángel Plascencia,"3,4",80,1,37,Todos los niveles,"14,99"
Aprende SQL desde Cero [2021],Kevin Meneses González,"4,7",74,2,27,Principiante,"14,99"
Aplica SQL al mundo del Data Science desde cero,"Juan Gabriel Gomila Salas, Rocio del Carmen Chávez Álvarez, Frogames SL","4,6",71,75,85,Todos los niveles,"14,99"
Master SQL: De cero a experto en Bases de Datos,Rodrigo Morales,"4,3",66,155,146,Todos los niveles,"14,99"
Introducción a Oracle APEX 5.0,Clarisa Maman Orfali Kolodoczka,"4,5",62,5,54,Principiante,"99,99"
Introducción a las consultas SQL Server,Hugo Bernachea Administrador de Bases de datos y Desarrollador TSQL,"4,6",56,4,13,Todos los niveles,"14,99"
Aprende SQL,Joel Barrios (Bachi),"4,0",40,25,23,Intermedio,"14,99"
Curso MySQL desde 123 hasta el Infinito,Jhonatan Fernández,"4,4",38,105,72,Todos los niveles,"14,99"
Bases de datos SQL y NoSQL con Mysql y MongoDB,Andrés felipe Vega Beltrán,"4,0",36,55,107,Todos los niveles,"14,99"
Oracle SQL: domina lo necesario para el trabajo,"Gabriel Serrano, MBA","4,6",35,25,39,Principiante,"14,99"
SQL para Todos de Cero a Master,DataHack Formation,"3,5",32,6,80,Todos los niveles,"14,99"
SQL: Bases de datos. Desde cero.,Jorge Durand,"4,0",25,135,88,Todos los niveles,"14,99"
Diseño e Implementación de DataWarehouse con Sql Server 2019,Denis Enrique Guido Rodríguez,"4,4",23,85,21,Todos los niveles,"14,99"
Querying Data y Transact SQL,Claudio Gutierrez,"3,9",22,45,47,Principiante,"14,99"
SQL - Curso completo de Bases de Datos lenguaje sql y mysql,Carlos Valdes,"4,5",21,8,68,Todos los niveles,"14,99"
Aprende a realizar consultas SQL con Oracle Live,Disco Duro de Roer,"4,7",18,45,118,Principiante,"14,99"
Implementación de Bases de Datos con Sql Server 2008-2019,Denis Enrique Guido Rodríguez,"4,3",13,3,25,Todos los niveles,"14,99"
MySQL - SQL Primeros Pasos en Linux,Jonathan Castro,"4,7",11,15,13,Principiante,"14,99"
Base de datos de MySQL and SQL Server desde cero full stack,Alex Joel Pagoada Suazo,"4,7",8,15,84,Principiante,"14,99"
Oracle 12c . Aprende a construir consultas SQL desde cero,GEAMIND Formación IT,"3,4",8,3,14,Todos los niveles,"14,99"
Aprende: PLSQL -Oracle Básico-Intermedio,Víctor Sánchez Rodriguez,"4,7",7,45,12,Principiante,"14,99"
FUNDAMENTOS DEL LENGUAJE SQL,Dario Sosa,"4,7",5,55,35,Principiante,"14,99"
SQL y bases de datos facil y practico,Karline Vazquez,"4,8",4,3,49,Principiante,"14,99"
Curso SQL desde cero con Oracle SQL Developer,Pedro Albaladejo Lopez,"5,0",3,35,25,Principiante,"14,99"
Comienza a conocer sobre Bases de Datos y SQL! INTENSIVO,Adrián Javier Tagüico,"3,4",2,15,26,Principiante,"14,99"
Curso Maestro de Bases de Datos,Lucas Bazilio,"5,0",2,10,47,Todos los niveles,"14,99"
Programar en SQL para sistemas transaccionales y analiticos.,Rodolfo Pinera,"5,0",2,45,23,Intermedio,"14,99"
SQL Server: El curso completo sobre BACKUP y RESTORE,olivier Thuillier,"5,0",2,25,28,Principiante,"14,99"
SQL Server: El curso Masterclass 2021 (20 horas),olivier Thuillier,"4,5",1,19,256,Principiante,"14,99"
Experto SQL Server y Replicación Multiplataforma,"Daniel Ernesto Bojorge Sequeira, Denis Enrique Guido Rodríguez",,0,8,43,Intermedio,"14,99"
SQL Server para los principiantes (8 horas de clase),olivier Thuillier,,0,75,137,Principiante,"14,99"
Desafío SQL Avanzado Examen Pre-laboral Situación Real,Adrián Javier Tagüico,,0,1,24,Intermedio,"14,99"
Aprende SQL desde CERO hasta AVANZADO como un PROFESIONAL.,Candido Acevedo Medrano,"4,4",3376,95,91,Principiante,Gratis
SQL Server: Nivel 1 Sentencias Principales,Mariano Puglisi,"4,6",2602,15,34,Principiante,Gratis
Aprende SQL Developer Básico en 30 minutos (Introducción),Pedro Gabriel Ramirez Hernandez,"4,1",621,1,5,Principiante,Gratis
Guía de iniciación a Bases de Datos con MS SQL Server,Santi Santos Fuentes,"4,6",537,2,17,Principiante,Gratis
SQL desde cero,Jairo Galeas,"4,2",444,1,20,Todos los niveles,Gratis
Consultas con SQL Server 2016,Germán Cayo Morales,"4,1",443,25,7,Principiante,Gratis
Lo básico de SQL,Nacho Cabanes,"4,7",296,2,25,Principiante,Gratis
"MySQL para Principiantes , Introducción a las Bases de Datos",Yury Zavaleta,"4,5",163,2,13,Principiante,Gratis
The Complete SQL Bootcamp 2021: Go from Zero to Hero,Jose Portilla,"4,7",101806,9,83,Todos los niveles,"14,99"
The Ultimate MySQL Bootcamp: Go from SQL Beginner to Expert,"Colt Steele, Ian Schoonover","4,6",55647,205,325,Principiante,"14,99"
SQL - MySQL for Data Analytics and Business Intelligence,365 Careers,"4,6",28842,10,287,Todos los niveles,"14,99"
SQL for Data Analysis: Weekender Crash Course for Beginners,"A Course You'll Actually Finish, David Kim, Peter Sefton","4,4",13408,4,39,Todos los niveles,"14,99"
SQL for Beginners: Learn SQL using MySQL and Database Design,"Tim Buchalka's Learn Programming Academy, Jon Avis - SQL Instructor","4,5",12827,8,122,Principiante,"14,99"
Master SQL For Data Science,Imtiaz Ahmad,"4,7",7779,95,51,Todos los niveles,"14,99"
SQL &amp; Database Design A-Z™: Learn MS SQL Server + PostgreSQL,"Kirill Eremenko, Ilya Eremenko, Ligency Team","4,4",4204,125,104,Todos los niveles,"14,99"
SQL &amp; PostgreSQL for Beginners: Become an SQL Expert,Jon Avis - SQL Instructor,"4,6",3361,9,125,Todos los niveles,"14,99"
"MySQL, SQL and Stored Procedures from Beginner to Advanced",John Purcell,"4,4",2661,185,136,Principiante,"14,99"
Advanced SQL : SQL Expert Certification Preparation Course,"Oracle Master Training • 90,000+ Students Worldwide, Code Star Academy","4,4",2418,13,138,Experto,"14,99"
Oracle SQL - Step by Step SQL,Amarnath Reddy,"4,5",2169,65,126,Todos los niveles,"14,99"
Learn SQL Using PostgreSQL: From Zero to Hero,Will Bunker,"4,5",2050,16,181,Principiante,"14,99"
SQL Tutorial: Learn SQL with MySQL Database -Beginner2Expert,Pradnyankur Nikam,"4,2",1746,11,126,Todos los niveles,"14,99"
200+ SQL Interview Questions,Amarnath Reddy,"4,3",1678,25,45,Todos los niveles,"14,99"
Learn SQL +Security(pen) testing from Scratch,Rahul Shetty,"4,5",1662,135,117,Todos los niveles,"14,99"
SQL and PostgreSQL: The Complete Developer's Guide,Stephen Grider,"4,8",1652,22,290,Principiante,"14,99"
Complete SQL and Databases Bootcamp: Zero to Mastery [2021],"Andrei Neagoie, Mo Binni","4,6",1627,245,278,Todos los niveles,"14,99"
"Become an SQL Developer:  Learn (SSRS, SSIS, SSAS,T-SQL,DW)",Bluelime Learning Solutions,"4,0",1562,17,154,Principiante,"14,99"
SQL Course For Beginners: Learn SQL Using MySQL Database,Ashutosh Pawar,"4,4",1529,5,76,Todos los niveles,"14,99"
"Complete SQL Bootcamp for Data Science, Analytics, Marketing",Lazy Programmer Inc.,"4,3",1382,15,30,Todos los niveles,"14,99"
SQL Advanced,Amarnath Reddy,"4,3",1354,5,82,Experto,"14,99"
SQL For Data Science With Google Big Query,Chris Levy,"4,5",1316,7,57,Principiante,"17,99"
SQL for Beginners: The Easiest Way to Learn SQL Step by Step,"Code Star Academy, Oracle Master Training • 90,000+ Students Worldwide","4,2",1297,75,91,Todos los niveles,"14,99"
SQL Tuning,Amarnath Reddy,"4,3",1123,3,61,Intermedio,"14,99"
The Complete SQL Course 2021: Become a MYSQL Master,Web Coding,"3,9",1101,25,41,Todos los niveles,"14,99"
Learn SQL for Data Analysis with Google Big Query,Annabel Lyle,"4,4",1061,2,55,Principiante,"14,99"
SQL - Master Class For Data Analysis,Paul Scotchford,"4,7",956,75,58,Todos los niveles,"14,99"
"Node, SQL, &amp; PostgreSQL - Mastering Backend Web Development",David Joseph Katz,"4,4",866,5,46,Todos los niveles,"14,99"
SQL- The Complete Introduction to SQL programming,Yassin Marco,"4,1",818,35,25,Principiante,"14,99"
Practical SQL Bootcamp for Data Analysts and Data Scientists,"Ava Cas, PhD","4,5",659,35,194,Principiante,"14,99"
The Complete SQL and MySQL Course - From Beginner to Expert,Holczer Balazs,"4,2",655,7,144,Todos los niveles,"14,99"
Sachin Quickly Learns (SQL) - Structured Query Language,Kotaa Krishna Kamath,"4,4",620,15,13,Intermedio,"14,99"
Spatial SQL with Postgres : A language for geographers,Arthur Lembo,"3,9",571,4,19,Todos los niveles,"14,99"
SQL for Data Analysis - with SQL Server,Travis Cuzick,"4,6",540,55,68,Principiante,"14,99"
Practice advanced SQL queries with MySQL 5.7+,Michal Juhas,"4,4",532,5,79,Experto,"14,99"
SQL - Beyond The Basics,Infinite Skills,"4,6",523,45,44,Intermedio,"14,99"
SOFTWARE TESTING MASTERCLASS -2021|JIRA|Agile|API|DB Testing,Testing World,"4,3",469,135,120,Todos los niveles,"14,99"
Learn Advanced T-SQL For SQL Server Administrator,Raphael Asghar,"4,5",453,55,34,Intermedio,"14,99"
SQL for Newcomers - The Full Mastery Course,Sameh Sharaf,"4,5",451,11,124,Principiante,"14,99"
Project Based SQL Course: Code like a SQL Programmer,Brandon Brown,"4,0",450,65,41,Intermedio,"14,99"
SQL Made Simple: SQL Server Queries for Non-Programmers,IsáBel .,"4,7",425,35,120,Principiante,"14,99"
SQL Database MasterClass: Go From Pupil To Master!,Rico Rodriguez,"4,5",406,6,49,Todos los niveles,"14,99"
Get Expertise in Database Testing(SQL) + Linux for Testers,T World,"4,5",399,125,126,Todos los niveles,"14,99"
A Beginners Guide To SQL. Master SQL Quickly,Infinite Skills,"4,4",388,35,34,Todos los niveles,"14,99"
SQL for Marketers,Justin Mares,"3,6",358,4,41,Todos los niveles,"14,99"
SQL for Data Analysis and Data Science in 2021,Tamer Ahmed,"3,8",356,55,114,Todos los niveles,"14,99"
learn Complete SQL from basics,THE K INSTRUCTOR,"3,8",351,1,12,Todos los niveles,"14,99"
SQL for Developers and Analysts with MS SQL Server,Biz Nigatu,"3,9",316,35,71,Principiante,"14,99"
Learn SQL and MySQL in 3 Hours,Umang Shah,"4,7",295,2,45,Todos los niveles,"14,99"
Learn SQL in 6 days,John Anthony,"4,1",290,35,46,Todos los niveles,"14,99"
Practical SQL Skills from Intermediate to Advanced,Gary Kind,"2,9",253,4,35,Intermedio,"14,99"
The Complete MySQL Bootcamp: Become an Expert in SQL &amp; MySQL,"Joe Parys, Joe Parys Support, Muhammad Javed, TheCoding .dev","4,0",248,85,98,Todos los niveles,"14,99"
Learn How To Become an Azure SQL Database Architect,Mike West,"3,6",244,15,30,Intermedio,"14,99"
Learn SQL From Scratch,Shahidul Islam,"2,1",243,15,9,Todos los niveles,"14,99"
Learn Oracle 12c SQL : Kickstart kit for beginners,Cheena S,"4,6",235,4,31,Todos los niveles,"14,99"
SQL Essentials: The Beginner's Guide to SQL Language,Vlad Burmistrov,"4,4",224,7,68,Principiante,"14,99"
SQL Programming and MySQL Developer Certification Training,Uplatz Training,"4,2",220,8,14,Todos los niveles,"14,99"
SQL Fundamentals for beginners,Bluelime Learning Solutions,"4,6",218,6,52,Principiante,"14,99"
SQL Query Training for SAP Business One,Michael Taylor,"4,2",213,3,36,Todos los niveles,"14,99"
SQL Programming Basics,Global Academy,"4,4",210,15,16,Principiante,"14,99"
SQL Server 2017 Express Basics,"A O, Adiv Abramson","4,6",206,6,41,Principiante,"14,99"
SQL Tricky Interview Questions Preparation Course,KnowledgePowerhouse !,"3,9",205,3,64,Todos los niveles,"14,99"
SQL Interview Questions - 156 Quiz Questions &amp; Answers,Rares Ilea,"3,3",194,15,7,Principiante,"14,99"
SQL Tutorial For Tester,S D Academy,"4,2",193,2,32,Todos los niveles,"14,99"
From 0 To 1:SQL And Databases - Heavy Lifting,Loony Corn,"4,2",182,145,68,Todos los niveles,"14,99"
SQL for Beginners in under 3 hours,Ram Mohan,"4,0",181,3,34,Principiante,"14,99"
SQL with MySQL Database for Beginners - Zero to Hero,Anil Batra,"4,2",180,15,22,Principiante,"14,99"
Practical SQL Skills,Gary Kind,"4,2",178,25,29,Todos los niveles,"14,99"
The Complete MySQL Bootcamp: From SQL Beginner to Expert,Vertex Academy,"4,6",173,8,92,Principiante,"14,99"
Oracle 12c SQL Tuning - the Ultimate Guide,Ahmed Baraka,"4,6",171,20,86,Intermedio,"29,99"
SQL From Scratch Using Oracle SQL Developer and TOAD,247 Learning,"4,2",171,10,106,Principiante,"14,99"
"SQL for EVERYBODY! FUN, EASY, FAST! 2020",Carlyle Frank,"4,0",170,25,24,Principiante,"14,99"
SQL/ETL Developer - T-SQL/Stored Procedures/ETL/SSIS,Bluelime Learning Solutions,"4,1",164,65,72,Principiante,"14,99"
SAS SQL for the SAS Programmer/Analyst,Ermin Dedic,"4,3",156,15,29,Principiante,"14,99"
Microsoft SQL for Beginners (SQL Server and T-SQL),Vimal Vachhani,"3,9",155,2,39,Principiante,"14,99"
The SQL MicroDegree 2021: From SQL Basics To MySQL Mastery,Abhishek Pughazh,"4,5",151,45,85,Todos los niveles,"14,99"
Learn SQL with ease,Marco Eder,"4,6",148,2,45,Principiante,"14,99"
SQL For  Databases : A Beginner's Quick Introduction,Bluelime Learning Solutions,"4,7",143,25,25,Principiante,"14,99"
Learn SQL Made Simple,Prem K,"2,9",140,15,25,Principiante,"14,99"
SQL for Beginners with Microsoft SQL Server Database,Anil Batra,"4,6",138,25,26,Principiante,"14,99"
SQL Database for Beginners,Framework Television Inc.,"4,2",138,65,56,Principiante,"14,99"
Oracle Database 12c Certified Professional - SQL Foundations,Infinite Skills,"4,6",125,55,76,Principiante,"14,99"
Learn to Build SQL Query| Ultimate SQL and DataBase Concepts,Jazeb Akram,"4,1",123,25,32,Principiante,"14,99"
Web Development with Django,Sara Al-Arab,"4,1",122,55,30,Principiante,"14,99"
Introduction to SQL Databases - SQL for Beginners,David Medlock,"4,3",119,8,64,Principiante,"14,99"
Database Management Systems Part 3 : SQL Interview Course,Vignesh Sekar,"4,7",115,10,53,Todos los niveles,"14,99"
Beginners Data Analysis Bootcamp with SQL,Adnan Haroon,"4,4",113,35,70,Principiante,"14,99"
Building an Automated SQL Server Performance Tuning Engine,Mike West,"4,0",112,15,20,Intermedio,"14,99"
SQL and Data Visualization - The Complete Bootcamp,Raffi Sarkissian | SQL | PostgreSQL | Metabase,"4,4",108,55,54,Principiante,"14,99"
SQL - The Query Writing Bootcamp [2019],Mark Stephenson,"4,5",105,95,63,Todos los niveles,"14,99"
SQL For Beginners: Learn to communicate with databases,Bluelime Learning Solutions,"4,6",104,45,47,Principiante,"14,99"
Learn SQL Queries,Dave Merton,"4,4",104,45,67,Principiante,"14,99"
"SQL for beginners with :( PostgreSQL, MySQL, SQL Server )",Bluelime Learning Solutions,"4,4",101,8,78,Principiante,"14,99"
